order_item_id,order_id,book_id,quantity,unit_price
133,75,17,1,24.75
134,76,38,1,20.70
135,77,23,1,18.00
136,78,30,1,19.00
137,79,14,3,22.49
138,80,39,1,26.50
139,80,14,1,19.99
140,80,13,2,32.50
141,81,10,1,14.50
142,82,39,1,26.50
143,82,38,1,23.00
144,83,9,1,13.99
145,83,38,2,23.00
146,84,4,2,14.99
147,84,1,2,16.99
148,85,4,1,14.99
149,85,34,1,25.00
150,86,10,2,13.05
151,87,21,1,18.50
152,87,23,2,22.50
153,88,11,1,15.99
154,88,26,1,38.50
155,89,21,2,14.80
156,90,39,2,26.50
157,91,35,3,19.99
158,91,34,1,25.00
159,91,18,1,12.79
160,92,11,2,12.79
161,92,4,3,14.99
162,92,29,2,10.50
163,92,19,1,13.20
164,93,38,1,23.00
165,94,21,1,14.80
166,94,21,1,18.50
167,94,21,1,18.50
168,95,18,1,15.99
169,96,30,1,15.20
170,96,20,1,12.80
171,96,20,1,14.40
172,96,35,3,17.99
173,97,29,2,10.50
174,97,31,2,20.50
175,98,13,1,26.00
176,99,34,1,22.50
177,100,29,3,9.45
178,100,19,2,14.85
179,101,1,2,16.99
180,102,1,2,16.99
181,102,39,3,21.20
182,102,11,1,12.79
183,103,21,1,18.50
184,103,29,1,9.45
185,103,20,1,16.00
186,103,35,3,17.99
187,104,5,2,17.25
188,105,13,1,32.50
189,105,39,1,26.50
190,106,34,2,25.00
191,106,18,2,14.39
192,107,33,2,13.00
193,107,16,1,23.99
194,107,20,2,16.00
195,107,29,1,10.50
196,108,18,1,12.79
197,108,34,1,25.00
198,109,20,1,12.80
199,109,13,2,26.00
200,110,28,1,9.99
201,111,26,2,38.50
202,111,33,1,13.00
203,112,19,3,16.50
204,113,19,1,16.50
205,113,14,1,24.99
206,114,4,1,14.99
207,115,21,1,18.50
208,116,21,1,16.65
209,116,39,1,21.20
210,117,29,1,10.50
211,118,20,1,16.00
212,118,20,2,16.00
213,118,12,1,28.00
214,119,29,2,9.45
215,120,31,2,16.40
216,120,25,2,34.00
217,121,19,1,14.85
218,121,10,1,13.05
219,121,2,1,15.50
220,122,23,1,22.50
221,123,7,1,12.00
222,123,10,2,14.50
223,123,29,1,8.40
224,124,36,2,14.39
225,125,30,1,19.00
226,126,19,1,16.50
227,126,35,1,19.99
228,127,9,1,13.99
229,127,26,1,38.50
230,128,35,1,15.99
231,128,35,1,19.99
232,128,31,2,20.50
233,129,15,1,20.80
234,129,39,1,26.50
235,130,39,1,23.85
236,130,11,1,15.99
237,131,34,1,25.00
238,132,19,1,16.50
239,132,35,1,15.99
240,133,23,2,18.00
241,134,4,1,14.99
242,134,4,3,14.99
243,134,20,1,12.80
244,134,29,1,10.50
245,135,22,1,21.00
246,135,29,1,10.50
247,135,17,1,27.50
248,135,23,1,22.50
249,136,15,1,26.00
250,137,31,3,20.50
251,137,38,1,20.70
252,138,38,1,23.00
253,139,21,2,18.50
254,139,31,2,20.50
255,139,39,1,23.85
256,139,26,2,30.80
257,140,39,1,26.50
258,141,26,1,34.65
259,141,3,1,14.40
260,142,12,1,22.40
261,143,26,1,38.50
262,144,14,1,24.99
263,144,4,1,11.99
264,145,39,2,26.50
265,146,33,1,14.62
266,146,38,1,23.00
267,147,1,1,16.99
268,147,39,1,26.50
269,148,31,2,16.40
270,149,4,2,14.99
271,150,6,1,19.99
272,150,39,1,26.50
273,150,30,1,19.00
274,151,21,2,18.50
275,151,8,1,11.50
276,152,2,2,13.95
277,153,39,1,26.50
278,153,19,1,14.85
279,153,21,1,16.65
280,154,18,1,14.39
281,155,23,1,22.50
282,155,6,1,19.99
283,156,21,2,18.50
284,156,4,1,14.99
285,156,37,1,21.50
286,157,23,1,18.00
287,157,39,1,21.20
288,157,39,1,23.85
289,158,35,1,19.99
290,158,28,3,9.99
291,159,7,2,12.00
292,159,4,1,14.99
293,160,18,2,14.39
294,161,21,2,18.50
295,161,29,2,10.50
296,162,31,1,18.45
297,162,39,1,21.20
298,163,38,2,23.00
299,164,28,1,9.99
300,165,10,3,14.50
301,166,37,2,21.50
302,166,39,2,26.50
303,167,19,3,16.50
304,168,1,1,15.29
305,168,35,3,19.99
306,169,20,1,14.40
307,169,34,1,22.50
308,169,19,1,16.50
309,170,34,1,25.00
310,171,33,2,16.25
311,172,18,2,14.39
312,173,25,1,34.00
313,173,31,1,20.50
314,174,30,2,19.00
315,174,20,1,16.00
316,175,4,2,11.99
317,175,31,1,20.50
318,176,35,1,19.99
319,176,12,2,28.00
320,177,31,1,16.40
321,177,21,1,18.50
322,178,9,1,12.59
323,178,19,1,14.85
324,179,17,1,27.50
325,179,11,1,12.79
326,180,2,2,15.50
327,180,18,1,14.39
328,180,4,1,11.99
329,180,13,1,32.50
